mdf,ngram,features,fscore
1.0,1.0,500.0,0.42156862745098034
1.0,2.0,500.0,0.45933014354066987
1.0,3.0,500.0,0.4615384615384615
5.0,1.0,500.0,0.45933014354066987
5.0,2.0,500.0,0.4666666666666667
5.0,3.0,500.0,0.4688995215311004
10.0,1.0,500.0,0.4390243902439025
10.0,2.0,500.0,0.4666666666666667
10.0,3.0,500.0,0.4688995215311004
20.0,1.0,500.0,0.3333333333333333
20.0,2.0,500.0,0.3529411764705882
20.0,3.0,500.0,0.3578947368421052
30.0,1.0,500.0,0.2857142857142857
30.0,2.0,500.0,0.30434782608695654
30.0,3.0,500.0,0.30434782608695654
40.0,1.0,500.0,0.2628571428571429
40.0,2.0,500.0,0.28888888888888886
40.0,3.0,500.0,0.2742857142857143
50.0,1.0,500.0,0.20481927710843373
50.0,2.0,500.0,0.2352941176470588
50.0,3.0,500.0,0.2352941176470588
60.0,1.0,500.0,0.20481927710843373
60.0,2.0,500.0,0.2222222222222222
60.0,3.0,500.0,0.2222222222222222
70.0,1.0,500.0,0.20118343195266272
70.0,2.0,500.0,0.2235294117647059
70.0,3.0,500.0,0.21301775147928992
80.0,1.0,500.0,0.19999999999999998
80.0,2.0,500.0,0.25287356321839083
80.0,3.0,500.0,0.25287356321839083
90.0,1.0,500.0,0.22093023255813954
90.0,2.0,500.0,0.22093023255813954
90.0,3.0,500.0,0.20238095238095236
100.0,1.0,500.0,0.22093023255813954
100.0,2.0,500.0,0.22093023255813954
100.0,3.0,500.0,0.20238095238095236
1.0,1.0,600.0,0.4401913875598087
1.0,2.0,600.0,0.44976076555023925
1.0,3.0,600.0,0.47887323943661964
5.0,1.0,600.0,0.4476190476190475
5.0,2.0,600.0,0.45933014354066987
5.0,3.0,600.0,0.4711538461538462
10.0,1.0,600.0,0.4411764705882353
10.0,2.0,600.0,0.47393364928909953
10.0,3.0,600.0,0.47619047619047616
20.0,1.0,600.0,0.3404255319148936
20.0,2.0,600.0,0.35978835978835977
20.0,3.0,600.0,0.3440860215053763
30.0,1.0,600.0,0.2777777777777778
30.0,2.0,600.0,0.2967032967032967
30.0,3.0,600.0,0.3060109289617486
40.0,1.0,600.0,0.24561403508771928
40.0,2.0,600.0,0.28888888888888886
40.0,3.0,600.0,0.2824858757062147
50.0,1.0,600.0,0.20481927710843373
50.0,2.0,600.0,0.2352941176470588
50.0,3.0,600.0,0.2352941176470588
60.0,1.0,600.0,0.18404907975460125
60.0,2.0,600.0,0.2222222222222222
60.0,3.0,600.0,0.2222222222222222
70.0,1.0,600.0,0.18181818181818182
70.0,2.0,600.0,0.2325581395348837
70.0,3.0,600.0,0.2325581395348837
80.0,1.0,600.0,0.19999999999999998
80.0,2.0,600.0,0.25287356321839083
80.0,3.0,600.0,0.25287356321839083
90.0,1.0,600.0,0.22093023255813954
90.0,2.0,600.0,0.2235294117647059
90.0,3.0,600.0,0.22093023255813954
100.0,1.0,600.0,0.22093023255813954
100.0,2.0,600.0,0.22093023255813954
100.0,3.0,600.0,0.22093023255813954
1.0,1.0,700.0,0.42307692307692313
1.0,2.0,700.0,0.45933014354066987
1.0,3.0,700.0,0.4615384615384615
5.0,1.0,700.0,0.39215686274509803
5.0,2.0,700.0,0.4571428571428572
5.0,3.0,700.0,0.45933014354066987
10.0,1.0,700.0,0.4411764705882353
10.0,2.0,700.0,0.47393364928909953
10.0,3.0,700.0,0.47619047619047616
20.0,1.0,700.0,0.3333333333333333
20.0,2.0,700.0,0.35978835978835977
20.0,3.0,700.0,0.35978835978835977
30.0,1.0,700.0,0.2777777777777778
30.0,2.0,700.0,0.3060109289617486
30.0,3.0,700.0,0.3135135135135135
40.0,1.0,700.0,0.24561403508771928
40.0,2.0,700.0,0.2905027932960894
40.0,3.0,700.0,0.2905027932960894
50.0,1.0,700.0,0.20481927710843373
50.0,2.0,700.0,0.2352941176470588
50.0,3.0,700.0,0.2352941176470588
60.0,1.0,700.0,0.20481927710843373
60.0,2.0,700.0,0.2222222222222222
60.0,3.0,700.0,0.2222222222222222
70.0,1.0,700.0,0.20118343195266272
70.0,2.0,700.0,0.2222222222222222
70.0,3.0,700.0,0.20238095238095236
80.0,1.0,700.0,0.19999999999999998
80.0,2.0,700.0,0.25287356321839083
80.0,3.0,700.0,0.25287356321839083
90.0,1.0,700.0,0.22093023255813954
90.0,2.0,700.0,0.22093023255813954
90.0,3.0,700.0,0.22093023255813954
100.0,1.0,700.0,0.22093023255813954
100.0,2.0,700.0,0.22093023255813954
100.0,3.0,700.0,0.22093023255813954
1.0,1.0,800.0,0.4019607843137255
1.0,2.0,800.0,0.41747572815533973
1.0,3.0,800.0,0.43269230769230765
5.0,1.0,800.0,0.4039408866995074
5.0,2.0,800.0,0.4077669902912622
5.0,3.0,800.0,0.4347826086956522
10.0,1.0,800.0,0.4444444444444445
10.0,2.0,800.0,0.45933014354066987
10.0,3.0,800.0,0.47619047619047616
20.0,1.0,800.0,0.3404255319148936
20.0,2.0,800.0,0.35978835978835977
20.0,3.0,800.0,0.3529411764705882
30.0,1.0,800.0,0.27624309392265195
30.0,2.0,800.0,0.3135135135135135
30.0,3.0,800.0,0.3135135135135135
40.0,1.0,800.0,0.2613636363636364
40.0,2.0,800.0,0.28888888888888886
40.0,3.0,800.0,0.2742857142857143
50.0,1.0,800.0,0.20481927710843373
50.0,2.0,800.0,0.2352941176470588
50.0,3.0,800.0,0.2352941176470588
60.0,1.0,800.0,0.2235294117647059
60.0,2.0,800.0,0.2235294117647059
60.0,3.0,800.0,0.2222222222222222
70.0,1.0,800.0,0.20118343195266272
70.0,2.0,800.0,0.2222222222222222
70.0,3.0,800.0,0.20238095238095236
80.0,1.0,800.0,0.20238095238095236
80.0,2.0,800.0,0.25287356321839083
80.0,3.0,800.0,0.25287356321839083
90.0,1.0,800.0,0.22093023255813954
90.0,2.0,800.0,0.2235294117647059
90.0,3.0,800.0,0.2235294117647059
100.0,1.0,800.0,0.2222222222222222
100.0,2.0,800.0,0.22093023255813954
100.0,3.0,800.0,0.22093023255813954
1.0,1.0,900.0,0.39800995024875624
1.0,2.0,900.0,0.4360189573459716
1.0,3.0,900.0,0.44976076555023925
5.0,1.0,900.0,0.4039408866995074
5.0,2.0,900.0,0.38805970149253727
5.0,3.0,900.0,0.42156862745098034
10.0,1.0,900.0,0.4390243902439025
10.0,2.0,900.0,0.47393364928909953
10.0,3.0,900.0,0.47619047619047616
20.0,1.0,900.0,0.3333333333333333
20.0,2.0,900.0,0.3529411764705882
20.0,3.0,900.0,0.3578947368421052
30.0,1.0,900.0,0.2777777777777778
30.0,2.0,900.0,0.3135135135135135
30.0,3.0,900.0,0.3135135135135135
40.0,1.0,900.0,0.2543352601156069
40.0,2.0,900.0,0.2921348314606741
40.0,3.0,900.0,0.2905027932960894
50.0,1.0,900.0,0.22485207100591717
50.0,2.0,900.0,0.2352941176470588
50.0,3.0,900.0,0.21556886227544908
60.0,1.0,900.0,0.18404907975460125
60.0,2.0,900.0,0.22485207100591717
60.0,3.0,900.0,0.2222222222222222
70.0,1.0,900.0,0.18181818181818182
70.0,2.0,900.0,0.2325581395348837
70.0,3.0,900.0,0.2325581395348837
80.0,1.0,900.0,0.19999999999999998
80.0,2.0,900.0,0.25287356321839083
80.0,3.0,900.0,0.25287356321839083
90.0,1.0,900.0,0.2235294117647059
90.0,2.0,900.0,0.20238095238095236
90.0,3.0,900.0,0.2235294117647059
100.0,1.0,900.0,0.22093023255813954
100.0,2.0,900.0,0.22093023255813954
100.0,3.0,900.0,0.19161676646706588
1.0,1.0,1000.0,0.4
1.0,2.0,1000.0,0.4347826086956522
1.0,3.0,1000.0,0.4347826086956522
5.0,1.0,1000.0,0.41379310344827586
5.0,2.0,1000.0,0.41951219512195115
5.0,3.0,1000.0,0.43269230769230765
10.0,1.0,1000.0,0.4444444444444445
10.0,2.0,1000.0,0.47393364928909953
10.0,3.0,1000.0,0.47619047619047616
20.0,1.0,1000.0,0.3333333333333333
20.0,2.0,1000.0,0.35978835978835977
20.0,3.0,1000.0,0.35106382978723405
30.0,1.0,1000.0,0.2857142857142857
30.0,2.0,1000.0,0.2967032967032967
30.0,3.0,1000.0,0.3135135135135135
40.0,1.0,1000.0,0.2543352601156069
40.0,2.0,1000.0,0.2905027932960894
40.0,3.0,1000.0,0.2824858757062147
50.0,1.0,1000.0,0.21556886227544908
50.0,2.0,1000.0,0.24561403508771928
50.0,3.0,1000.0,0.24561403508771928
60.0,1.0,1000.0,0.21556886227544908
60.0,2.0,1000.0,0.2222222222222222
